Sl No,Stock,EPS TTM Growth %,Day SMA50,Day SMA200,LTP,Day Chg %,Week Chg %,% Distance from 52W high,% Distance from 52W low,Golden Cross Day,Day ADX,Consolidated 30D average end of day Vol ,Consolidated 6M average end of day Vol ,Consolidated 5D average end of day Vol ,Basic EPS Qtr,Basic EPS 1Q Ago,Basic EPS 2Q Ago,Basic EPS 3Q Ago,Basic EPS 4Q Ago,EPS Qtr YoY Growth %,ROCE Ann  5Y Avg %,Consolidated previous end of day Vol ,Delivery Vol  Avg Month,Delivery Vol  Avg 6M,Day SMA20,Day SMA100,ROCE Ann  %,Day ROC125,Week Close,Week SMA10,Week ADX,Month Ended Close,Prev Month Ended Close,Price to Sales TTM,Price To Sales Ann ,Promoter holding change 2Y %,Public holding current Qtr %,Market Cap,ROCE Ann  3Y Avg %,NSE Code,BSE Code,ISIN
1,PVR INOX,387.02,1054.16,1027.34,1211.4,-0.22,3.65,2.63,34.1,,52.65,590140.86,379149.2,333441,5.75,18.99,9.75,10.78,-5.51,204.63,3.06,222939,228894.18,188046.64,1160.45,1018.89,7.5,16.51,1174,1067.92,19.42,1130.6,961.65,1.74,1.34,-0.31,18.67,11948.98,5.27,PVRINOX,532689,INE191H01014
2,Aegis Logistics,88.67,1341.46,903.44,1514.78,6.11,12.05,5.33,146.12,,29.69,1239600.41,2292168.32,1307383,13.8,11.69,5.04,5.12,3.74,268.9,13.85,326265,367346.82,478277.23,1413.86,1044.92,14.32,103.47,1265.4,1275.38,43.48,1280.8,1173.95,5.55,2.52,0,18.76,49768.29,13.29,AEGISLOG,500003,INE208C01025
3,Poonawalla Fincorp,340.37,467.36,447.93,495.69,-0.81,-1.58,14.09,35.67,,34.33,1369695.18,1961743.35,983284.6,3.55,3.15,1.86,0.95,0.81,391.55,22.51,1389132,709471,949689.49,488.95,440.1,33.51,2.96,497.9,467.35,18.66,463.55,441.05,5.53,4.38,-3.07,13.28,43149.5,25.89,POONAWALLA,524000,INE511C01022
4,Leela Palaces Hotels Resorts,236.79,519.25,465.07,593.99,4.08,10.13,0.41,46.09,,32.3,758431.55,462835.07,1219527.8,1.45,9.78,4.54,2.35,0.3,456.65,0,1456576,409364.05,262308.36,534.7,481.19,8.36,27.28,510.05,499.95,26.78,494.6,475.45,11.69,8.92,,4.71,18758.42,14.87,THELEELA,544408,INE0AQ201015
5,Chennai Petroleum,2379.87,1247.73,1049.81,1422.09,0.22,5.42,6.46,117.8,,27.41,3143550.27,2449135.24,3113098.4,69.26,95.48,67.26,48.3,-2.69,2671.95,32.73,2374923,747142.41,588849.19,1342.14,1160.82,32.88,57.26,1321.9,1217.33,46.43,1260.6,1156.3,0.27,0.23,0,16.72,20750.8,24.22,CHENNPETRO,500110,INE178A01016
6,Capri Global Capital,95.19,222.54,186.18,214.23,-0.48,-1.1,15.31,48.27,,27.11,4154977.86,3813402.89,3509285.4,3.67,2.94,2.66,2.45,2.05,102.04,31.99,4130646,1535823.95,1644435.82,219.91,200.94,40.81,29.4,226.52,233.23,30.12,232.38,227.66,4.06,3.37,-9.97,13.45,21555.14,38.29,CGCL,531595,INE180C01042
7,IIFL Finance,548.81,602.04,562.15,720.07,6.77,7.71,1.06,66.17,,50.81,2443023.64,2740536.3,3430481.6,15.87,13.8,10.92,8.86,5.49,189.3,38.31,1284680,1069919.36,1216610.9,654.69,545.89,50.39,30.76,631.15,575.76,25.86,608.65,507.8,2.02,1.37,-0.06,43.79,28917.4,46.88,IIFL,532636,INE530B01024
8,PTC Industries,104.96,18317.76,17757.8,20834.34,5.13,8.29,0.77,53.95,,38.85,35894.14,24401.5,94543.8,19.47,39.96,12.25,12.1,3.44,466.23,9.28,15023,10745.77,8863.79,19000.22,17509.91,7.99,12.87,19050,18329.2,21.94,17737,17149,44.35,37.29,-3.16,26.98,30928.03,7.74,PTCIL,539006,INE596F01018
9,JSW Dulux,383.49,3347.32,3337.45,3377.96,1.06,-1.53,16.72,17.31,,25.2,18706.5,37934.12,13479.6,17.51,27.6,16.32,369.52,19.98,-12.42,31.65,15129,9833.45,23577.21,3303.96,3291.35,20.04,2.78,3167.4,3091.57,14,2938.8,3228.1,3.91,3.59,-13.56,8.35,14283.48,33.16,JSWDULUX,500710,INE133A01011
10,One97 Communications,114.73,1248.61,1148.64,1538.75,1.77,1.81,1.54,75.37,,46.69,5029199.32,3512153.58,4586919.2,3.44,2.87,3.52,0.33,1.92,79.59,-8.55,5041497,2004828.32,1370999.3,1400.67,1145.67,4.82,39.57,1603,1342.89,24.63,1343,1141.5,11.67,7.27,0,27.04,104632.92,-4.8,PAYTM,543396,INE982J01020
11,Netweb Technologies,101.27,4688.66,3812.5,5633.52,3.34,11.86,1.3,155.67,,32.38,2000628.59,2021484.22,3137008.4,14.98,12.43,12.94,5.55,5.38,179.94,42.18,4781301,416747.41,380895.38,4892.22,4320.32,39.26,80.75,5007.2,4720.88,37.92,4524,4538.2,11.8,8.08,-8.06,17.84,31892.49,31.16,NETWEB,543945,INE0NT901020
12,Laurus Labs,114.88,1638.8,1233.3,1819.09,-1.26,0.82,3.68,118.93,,45.98,2250840.73,2228195.78,1476512.6,6.81,5.17,4.67,3.61,3.02,125.49,18.27,1363434,1078951.23,1151264.77,1830.96,1437.01,19.57,77.82,1787.3,1632.38,54.63,1816.2,1517.4,13.39,7.86,0.29,30.8,97364.26,13.11,LAURUSLABS,540222,INE947Q01028
13,Minda Corporation,95.33,793.86,681.29,832.49,-2.08,1.08,5.35,55.36,,33.99,761965.68,577422.32,704896,8.75,5.29,3.64,3.6,2.78,215.46,15.01,591909,244008.73,255940.33,823.16,711.56,15.12,23.92,720.05,695.07,31.85,624.4,624.4,2.62,1.96,0,7.99,17401.39,14.83,MINDACORP,538962,INE842C01021
14,Navin Fluorine ,122.74,8160.93,7004.47,8650.78,-0.6,-0.35,6.48,82.43,,31.04,354125.95,232444.28,117754,47.45,41.49,36.18,29.06,23.63,107.67,15.07,67245,116209.95,106611.11,8426.27,7613.95,18.78,31.48,8235,7774.6,46.51,7567.5,7687,11.59,9.52,-1.72,20.73,42096.06,13.55,NAVINFLUOR,532504,INE048G01026
15,Craftsman Automation,120.37,9946.17,8312.36,10918.43,-0.43,3.84,2.88,68.32,,44.93,65989.5,102494.79,38624.6,62.12,51.85,46.32,38.09,36.89,116.31,17.39,15685,28503.23,35750.38,10545.24,9126.29,14.46,37.49,10251,9711.95,52.94,9873.5,9460,3.19,2.07,-6.29,7.41,27840.05,14.91,CRAFTSMAN,543276,INE00LO01017
16,Syrma SGS Technology,83.87,1370.29,974.46,1414.65,-0.3,-1.77,6.72,126.84,,27.05,1766144.59,1581936.58,1292461.6,5.19,5.29,5.73,3.44,2.79,101.19,13.37,1413866,572177.32,509521.1,1402.19,1182.12,14.96,66.74,1465.2,1394.58,47.38,1366.8,1396.3,5.07,3.09,-4.61,34.3,27701.37,13.68,SYRMA,543573,INE0DYJ01015
17,Vodafone Idea,235.73,13.82,11.64,13.94,-0.64,-1.2,9.13,115.79,,30.81,401551880.77,580573743.29,391975014.6,-0.35,4.8,-0.49,-0.51,-0.63,43.19,-3.48,241792197,103316784.14,158772723.63,13.28,12.67,-1.68,22.5,14.11,13.81,29.11,13.01,14.46,3.32,2.06,-12.53,13.12,151030.19,-2.59,IDEA,532822,INE669E01016
18,FSN E-Commerce,221.13,318.66,273.58,334,1.1,0.91,4.02,48.48,,25.56,6722164.55,6899963.6,5060154.6,0.28,0.27,0.22,0.12,0.08,243.1,11.99,7292583,3629732.73,3835553.66,330.8,291.08,25.07,23.11,331,322.03,38,333.4,310.85,8.98,6.72,-0.12,10.11,95661.4,15.98,NYKAA,543384,INE388Y01029
19,Lloyds Metals & Energy,210.66,1878.44,1505.59,1865.9,-1.35,-2.75,12.19,78.91,,26.18,669200.23,703785.2,317151.2,30.68,26.77,19.87,11.04,12.12,169.11,36.43,322626,349639.14,370812.02,1988.24,1772.04,19.37,58.71,1918.6,1880.28,35.54,2047,1810.4,4.76,4.18,-4.06,34.34,105032.82,34.79,LLOYDSME,512455,INE281B01032
20,GMR Airports ,203.31,108.05,100.43,99.63,-0.78,-1.85,13.84,18.45,,26.68,10336807.18,20320492.66,9432536.8,0.09,0.29,0.12,0.04,-0.2,143.03,5.89,7606569,5788014.82,11922550.27,104.54,102.29,10.25,-0.17,101.51,107.38,20.33,105.26,112.09,6.76,6.04,8.09,5.96,105199.08,6.9,GMRAIRPORT,532754,INE776C01039
21,Neuland Laboratories,182.61,19624.1,16157.1,23301,-1.13,-0.08,2.43,102.62,,49.56,110975.95,66517.63,54183.2,115.1,165.76,31.62,75.49,10.83,962.4,19.66,52191,36459.77,24241.08,21525.35,17659.76,23.1,70.47,23320,19925.5,44.96,19043,18579,12.6,7.66,-0.1,29.78,29894.95,22.97,NEULANDLAB,524558,INE794A01010
22,Prime Focus,177.04,263.95,252.44,296.95,5.08,10.14,19.09,113.57,,25.55,1068171.68,1906763.74,1991058.6,-0.53,1.06,1.15,0.1,2.05,-166.81,15.06,722270,472544.18,683310.25,286.59,276.11,25.62,8.63,269.6,265.44,25.97,287.11,221.01,4.7,5.47,-9.15,34.79,23125.69,13.15,PFOCUS,532748,INE367G01038
23,Multi Commodity Exchange,136.36,2823.06,2557.66,3185,1.89,9.39,8.48,118.03,,25.46,2740665.95,3528038.8,3276423.4,16.21,20.78,15.73,38.72,39.84,103.47,17.46,4288199,1222505.64,1561727.83,2825.84,2870.93,39.15,39.5,2911.5,2812.44,26.25,2692.2,2837.2,30.87,26.48,0,19.34,81214.89,22.61,MCX,534091,INE745G01043
24,Hindustan Copper,133.9,508.69,501.39,572.7,2.25,8.25,24.65,152.62,,27.34,11604111.55,8535553.4,16086918.2,3.64,4.59,1.62,1.89,1.39,162.47,22.46,10618066,3650090.95,2584655.64,526.08,525.31,37.32,4.23,529.05,509.92,28.1,491.6,501.1,15.83,14.28,0,23.06,55381.46,24.77,HINDCOPPER,513599,INE531E01026
25,Aarti Industries,123.73,490.89,435.59,527.2,1.37,-1.29,2.68,55.95,,25.94,1809483.36,1393443.51,1142505,4.27,3.79,3.67,2.91,1.19,260.47,12.8,787394,618097.5,512860.96,505.78,474.86,8.44,15.88,534.1,494.66,24.02,489.1,458.3,2.12,1.75,-1.42,30.06,19122.95,8.21,AARTIIND,524208,INE769A01020
