Sl No,Stock,EPS TTM Growth %,Day SMA50,Day SMA200,LTP,Day Chg %,Week Chg %,% Distance from 52W high,% Distance from 52W low,Golden Cross Day,Day ADX,Consolidated 30D average end of day Vol ,Consolidated 6M average end of day Vol ,Consolidated 5D average end of day Vol ,Basic EPS Qtr,Basic EPS 1Q Ago,Basic EPS 2Q Ago,Basic EPS 3Q Ago,Basic EPS 4Q Ago,EPS Qtr YoY Growth %,ROCE Ann  5Y Avg %,Consolidated previous end of day Vol ,Delivery Vol  Avg Month,Delivery Vol  Avg 6M,Day SMA20,Day SMA100,ROCE Ann  %,Day ROC125,Week Close,Week SMA10,Week ADX,Month Ended Close,Prev Month Ended Close,Price to Sales TTM,Price To Sales Ann ,Promoter holding change 2Y %,Public holding current Qtr %,Market Cap,ROCE Ann  3Y Avg %,NSE Code,BSE Code,ISIN
1,Chennai Petroleum,2379.87,1227.29,1032.61,1398.78,0.22,5.42,6.46,117.8,,27.41,3143550.27,2449135.24,3113098.4,69.26,95.48,67.26,48.3,-2.69,2671.95,32.73,2374923,747142.41,588849.19,1320.15,1141.8,32.88,57.26,1321.9,1217.33,46.43,1260.6,1156.3,0.27,0.23,0,16.72,20750.8,24.22,CHENNPETRO,500110,INE178A01016
2,IIFL Finance,548.81,562.55,525.28,672.84,6.77,7.71,1.06,66.17,,50.81,2443023.64,2740536.3,3430481.6,15.87,13.8,10.92,8.86,5.49,189.3,38.31,1284680,1069919.36,1216610.9,611.75,510.08,50.39,30.76,631.15,575.76,25.86,608.65,507.8,2.02,1.37,-0.06,43.79,28917.4,46.88,IIFL,532636,INE530B01024
3,PVR INOX,387.02,1138.83,1109.85,1308.7,-0.22,3.65,2.63,34.1,,52.65,590140.86,379149.2,333441,5.75,18.99,9.75,10.78,-5.51,204.63,3.06,222939,228894.18,188046.64,1253.65,1100.72,7.5,16.51,1174,1067.92,19.42,1130.6,961.65,1.74,1.34,-0.31,18.67,11948.98,5.27,PVRINOX,532689,INE191H01014
4,JSW Dulux,383.49,2942.63,2933.95,2969.56,1.06,-1.53,16.72,17.31,,25.2,18706.5,37934.12,13479.6,17.51,27.6,16.32,369.52,19.98,-12.42,31.65,15129,9833.45,23577.21,2904.51,2893.43,20.04,2.78,3167.4,3091.57,14,2938.8,3228.1,3.91,3.59,-13.56,8.35,14283.48,33.16,JSWDULUX,500710,INE133A01011
5,Poonawalla Fincorp,340.37,430.31,412.42,456.4,-0.81,-1.58,14.09,35.67,,34.33,1369695.18,1961743.35,983284.6,3.55,3.15,1.86,0.95,0.81,391.55,22.51,1389132,709471,949689.49,450.19,405.21,33.51,2.96,497.9,467.35,18.66,463.55,441.05,5.53,4.38,-3.07,13.28,43149.5,25.89,POONAWALLA,524000,INE511C01022
6,Leela Palaces Hotels Resorts,236.79,475.5,425.89,543.95,4.08,10.13,0.41,46.09,,32.3,758431.55,462835.07,1219527.8,1.45,9.78,4.54,2.35,0.3,456.65,0,1456576,409364.05,262308.36,489.65,440.65,8.36,27.28,510.05,499.95,26.78,494.6,475.45,11.69,8.92,,4.71,18758.42,14.87,THELEELA,544408,INE0AQ201015
7,Vodafone Idea,235.73,13.01,10.96,13.13,-0.64,-1.2,9.13,115.79,,30.81,401551880.77,580573743.29,391975014.6,-0.35,4.8,-0.49,-0.51,-0.63,43.19,-3.48,241792197,103316784.14,158772723.63,12.51,11.93,-1.68,22.5,14.11,13.81,29.11,13.01,14.46,3.32,2.06,-12.53,13.12,151030.19,-2.59,IDEA,532822,INE669E01016
8,FSN E-Commerce,221.13,326.9,280.65,342.64,1.1,0.91,4.02,48.48,,25.56,6722164.55,6899963.6,5060154.6,0.28,0.27,0.22,0.12,0.08,243.1,11.99,7292583,3629732.73,3835553.66,339.35,298.61,25.07,23.11,331,322.03,38,333.4,310.85,8.98,6.72,-0.12,10.11,95661.4,15.98,NYKAA,543384,INE388Y01029
9,Lloyds Metals & Energy,210.66,1803.31,1445.37,1791.27,-1.35,-2.75,12.19,78.91,,26.18,669200.23,703785.2,317151.2,30.68,26.77,19.87,11.04,12.12,169.11,36.43,322626,349639.14,370812.02,1908.72,1701.17,19.37,58.71,1918.6,1880.28,35.54,2047,1810.4,4.76,4.18,-4.06,34.34,105032.82,34.79,LLOYDSME,512455,INE281B01032
10,GMR Airports ,203.31,101.15,94.01,93.26,-0.78,-1.85,13.84,18.45,,26.68,10336807.18,20320492.66,9432536.8,0.09,0.29,0.12,0.04,-0.2,143.03,5.89,7606569,5788014.82,11922550.27,97.86,95.75,10.25,-0.17,101.51,107.38,20.33,105.26,112.09,6.76,6.04,8.09,5.96,105199.08,6.9,GMRAIRPORT,532754,INE776C01039
