"Sl No","Stock","EPS TTM Growth %","Momentum Score","Week Chg %","Market Cap","LTP","Latest Financial Result","PE TTM","PBV Adjusted","Revenue QoQ Growth %","Net Profit QoQ Growth %","NSE Code","BSE Code","ISIN"
"1","HFCL","1591.55","75.44","5.54","33596.72","219.5","2026-06-30","58.67","6.87","4.98","28.07","HFCL","500183","INE548A01028"
"2","Sterlite Tech","457.35","76.26","0.56","33016.23","642.45","2026-06-30","135.87","14.53","32.55","233.9","STLTECH","532374","INE089C01029"
"3","Diamond Power ","416.5","80.01","-1.14","21524.58","359.9","2026-06-30","109.53","-36.05","-0.86","-3.58","DIACABS","522163","INE989C01038"
"4","Cupid","188.62","78.24","1.98","35945.47","267.32","2026-06-30","261.66","79.74","28.97","21.75","CUPID","530843","INE509F01029"
"5","Shilpa Medicare","167.57","75.38","6.52","15828.44","809.3","2026-06-30","53.24","6.11","6.59","-6.41","SHILPAMED","530549","INE790G01031"
"6","Sky Gold and Diamonds","116.12","77.33","7.92","12024.41","776.4","2026-06-30","43.67","10.03","5.3","22.54","SKYGOLD","541967","INE01IU01018"
"7","Rubicon Research","89.49","75.81","15.81","29774.22","1798.7","2026-06-30","103.31","23.1","3.97","10.41","RUBICON","544578","INE506V01022"
"8","Avalon Technologies","67.08","75.05","4.79","13759.22","2059.4","2026-06-30","102.99","19.06","0.94","-15.27","AVALON","543896","INE0LCL01028"
"9","Sansera Engineering","52.94","75.37","3.58","24973.92","4002","2026-06-30","71.68","8.09","2.25","-28.7","SANSERA","543358","INE953O01021"
"10","E2E Networks","-9.72","81.8","19.24","14104.84","686.15","2026-06-30","452.69","8.37","63.9","581.86","E2E","544783","INE255Z01027"
